TITLE,ARTIST,PLAYLIST,PLAYLIST ID,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
"Is This Real Life, Jesus Christ",Black Wing,compost,1,2020,140,63,55,-11,17,5.30,43,28
Betsy On The Roof,Julia Holter,compost,1,2015,116,45,27,-7,9,6.27,54,27
The Queen's Head,Richard Dawson,compost,1,2019,138,35,67,-10,45,5.30,55,27
Money Is The One True God,Blake Mills,compost,1,2020,178,18,28,-17,32,6.93,96,26
Deep Down I'm Really Mark Smith,Crywank,compost,1,2020,80,27,42,-15,42,5.27,67,28
Ada,Issam Hajali,compost,1,2019,82,49,33,-8,51,4.98,2,29
Lucette Stranded on the Island,Julia Holter,compost,1,2015,84,53,32,-7,23,6.78,49,28
Just for Loving You I Pay the Price,Cindy Lee,compost,1,2020,83,35,17,-11,5,4.67,38,28
Vanishing Twin,Blake Mills,compost,1,2020,117,15,38,-11,16,6.28,90,29
As Rosas Não Falam,Cartola,compost,1,2014,112,37,73,-14,83,2.93,90,28
Death To Everyone,Bonnie Prince Billy,compost,1,1998,153,14,38,-19,39,4.52,54,9
My feet's tired (see page 108),Slauson Malone,compost,1,2020,83,36,49,-12,28,2.85,77,29
SORROW! SORROW! SORROW!,Lingua Ignota,compost,1,2019,82,8,28,-18,9,6.53,94,27
Arctic Lover's Rock Pt. 1,Tim Hecker,compost,1,2001,81,38,22,-17,4,5.58,79,29
Sudden Death,Chris Keys,compost,1,2020,157,87,61,-4,70,3.68,38,29
After The Flood,Talk Talk,compost,1,1991,89,45,40,-15,11,9.63,47,29
O Mundo É Um Moinho,Cartola,compost,1,2014,169,23,37,-16,55,3.97,96,30
Non-Zero Possibility,At The Drive In,compost,1,2000,74,61,29,-7,19,5.57,61,29
Soria Moria,Mount Eerie,compost,1,2017,98,10,42,-22,22,6.55,93,31
Replica,Oneohtrix Point Never,compost,1,2011,83,24,21,-13,28,4.60,44,32
Hope We Can Again,Nine Inch Nails,compost,1,2020,138,31,15,-16,6,7.45,49,31
FRAGRANT IS MY MANY FLOWER'D CROWN,Lingua Ignota,compost,1,2019,78,27,14,-13,5,5.12,62,30
Swims,Mount Eerie,compost,1,2017,68,6,59,-21,6,4.12,89,32
Apart,Nine Inch Nails,compost,1,2020,91,23,12,-18,3,13.58,88,32
New Grass,Talk Talk,compost,1,1991,100,37,46,-20,21,9.67,83,32
Raver,Burial,compost,1,2007,124,62,78,-8,40,5.00,4,33
June,IDLES,compost,1,2018,99,41,45,-9,4,3.58,15,37
Oh Daddy - 2004 Remaster,Fleetwood Mac,compost,1,1977,138,34,59,-11,48,3.93,51,34
When Poets Dreamed Of Angels,David Sylvian,compost,1,1987,81,48,73,-13,47,4.78,72,36
Thirteen Hours,Andy Shauf,compost,1,2020,82,29,76,-11,39,2.97,40,33
Providence,Godspeed You! Black Emperor,compost,1,1997,113,3,26,-15,4,29.03,50,36
Swordfishtrombone,Tom Waits,compost,1,1983,118,23,91,-20,68,3.13,94,36
I Felt My Size,The Microphones,compost,1,2001,85,41,33,-14,23,2.40,44,38
Below The Clavicle,Eartheater,compost,1,2020,120,28,41,-11,11,3.98,91,13
Dry land 2001,underscores,compost,1,2021,172,41,28,-10,36,7.03,90,39
The Flyover,Squid,compost,1,2021,79,11,23,-21,6,1.18,95,36
Artificial Death In The West,Death Grips,compost,1,2012,142,93,60,-4,48,5.98,0,38
The Piano Drop,Tim Hecker,compost,1,2011,114,85,58,-12,3,2.90,92,34
gray light,Soccer Mommy,compost,1,2020,136,56,50,-9,36,3.28,64,38
Music for Tundra Pt. 1,Tim Hecker,compost,1,2001,81,26,24,-19,32,5.22,88,37
Washer,Slint,compost,1,1991,111,10,45,-24,4,8.83,38,14
Lives,Modest Mouse,compost,1,2000,131,37,48,-7,33,3.30,83,38
The Cold Part,Modest Mouse,compost,1,2000,84,51,56,-9,26,5.02,31,38
Pyrotechnics,Jean Dawson,compost,1,2020,116,78,50,-5,37,4.45,14,41
Left Alone,Fiona Apple,compost,1,2012,171,42,50,-14,36,4.85,67,41
Fruit Tree,Nick Drake,compost,1,1969,125,27,35,-16,22,4.77,74,41
Man In A Shed,Nick Drake,compost,1,1969,131,31,55,-18,51,3.87,73,40
Wild Packs of Family Dogs,Modest Mouse,compost,1,2000,100,36,58,-6,64,1.73,66,39
Whispering Pines,The Band,compost,1,1969,70,32,40,-13,16,3.95,62,39
Blue Bucket of Gold,Sufjan Stevens,compost,1,2015,75,9,31,-23,12,4.75,94,16
Carrie & Lowell,Sufjan Stevens,compost,1,2015,99,25,55,-23,27,3.25,96,16
Flugufrelsarinn,Sigur Rós,compost,1,1999,125,60,19,-7,8,7.80,3,42
"The Wake Pt. 3 & 2 (see page 87, 58, and 48)",Slauson Malone,compost,1,2020,104,34,45,-11,22,5.58,70,44
Smile #6 (see page 198 and 158),Slauson Malone,compost,1,2020,116,29,62,-10,6,4.00,74,40
Ný batterí,Sigur Rós,compost,1,1999,166,38,13,-11,4,8.18,7,42
My Roots Are Strong and Deep,The Microphones,compost,1,2001,101,31,28,-14,35,1.88,82,42
Valley in the Ocean,Bruno Pernadas,compost,1,2016,200,27,46,-12,41,6.75,83,42
Ghost Story,The Avalanches,compost,1,2020,82,32,26,-17,23,1.40,93,45
All I Want,LCD Soundsystem,compost,1,2010,135,83,53,-7,95,6.68,5,44
Poor Boy,Nick Drake,compost,1,1970,167,32,48,-15,54,6.12,76,43
East Hastings,Godspeed You! Black Emperor,compost,1,1997,67,37,15,-15,4,17.97,72,43
Hunter,Have A Nice Life,compost,1,2008,125,38,58,-8,8,9.72,70,44
come,Adrianne Lenker,compost,1,2020,140,19,29,-18,9,5.28,92,45
Solitary Ceremonies,The Avalanches,compost,1,2020,140,27,27,-17,19,1.23,99,46
Downward Spiral,Danny Brown,compost,1,2016,77,70,56,-6,18,2.87,41,44
All of Me Wants All of You,Sufjan Stevens,compost,1,2015,144,28,44,-17,16,3.70,97,18
At The Chime Of A City Clock,Nick Drake,compost,1,1970,100,21,48,-19,17,4.77,59,45
Modal Soul (feat. Uyama Hiroto),Nujabes,compost,1,2005,117,80,62,-7,81,4.68,18,44
Sad Pony Guerrilla Girl,Xiu Xiu,compost,1,2003,99,34,50,-10,39,3.30,79,45
Telephasic Workshop,Boards of Canada,compost,1,1998,200,83,68,-14,58,6.58,2,44
For A Week Or Two,Fleet Foxes,compost,1,2020,104,14,49,-17,23,2.20,73,45
The Dead Flag Blues,Godspeed You! Black Emperor,compost,1,1997,104,19,24,-18,4,16.47,74,45
Speed Trials,Elliott Smith,compost,1,1997,103,38,64,-13,33,3.02,79,46
Real Death,Mount Eerie,compost,1,2017,76,19,56,-18,9,2.47,68,46
To Here Knows When,my bloody valentine,compost,1,1991,93,68,11,-13,14,5.52,0,47
"not a lot, just forever",Adrianne Lenker,compost,1,2020,90,27,34,-13,30,4.17,89,49
Hot Knife,Fiona Apple,compost,1,2012,97,46,78,-14,81,4.03,86,47
WEIGHT,BROCKHAMPTON,compost,1,2018,160,75,45,-7,27,4.33,11,46
dragon eyes,Adrianne Lenker,compost,1,2020,167,21,50,-17,52,3.43,69,48
Earthmover,Have A Nice Life,compost,1,2008,120,56,35,-8,4,11.47,4,53
I Will,Radiohead,compost,1,2003,75,13,27,-14,17,1.98,95,48
flowers,Nujabes,compost,1,2005,98,61,67,-6,61,4.00,85,49
Boreal Kiss Pt. 1,Tim Hecker,compost,1,2001,135,2,20,-25,9,3.47,53,47
Cosmonauts,Fiona Apple,compost,1,2020,114,47,55,-9,54,3.98,70,49
Biscuit,Portishead,compost,1,1994,136,46,74,-8,34,5.05,73,48
Throw Dem Gunz,Lil Ugly Mane,compost,1,2012,118,50,54,-9,37,3.47,0,49
ingydar,Adrianne Lenker,compost,1,2020,113,28,65,-16,51,4.13,96,52
focus,slowthai,compost,1,2021,83,49,59,-11,54,2.08,57,49
THE LIGHT PT. II,BROCKHAMPTON,compost,1,2021,87,56,52,-9,40,4.30,75,48
Living Room,Andy Shauf,compost,1,2020,77,53,60,-10,75,3.08,39,49
ordinary joe (feat. Terry Callier),Nujabes,compost,1,2005,120,96,72,-5,46,5.13,18,50
TEAM,BROCKHAMPTON,compost,1,2017,140,73,31,-7,27,4.57,40,50
Time,Tom Waits,compost,1,1985,133,12,37,-23,30,3.92,75,49
I Don't Love,Have A Nice Life,compost,1,2008,100,48,37,-7,12,6.12,22,52
Where the Money Flows,Peter Cat Recording Co.,compost,1,2019,75,36,40,-15,36,5.22,66,49
Teenager,Deftones,compost,1,2000,134,75,76,-10,77,3.33,45,52
WHEN I BALL,BROCKHAMPTON,compost,1,2021,82,81,66,-6,62,3.38,33,49
untitled 04 | 08.14.2014.,Kendrick Lamar,compost,1,2016,103,13,51,-21,22,1.83,86,50
On GP,Death Grips,compost,1,2015,132,95,28,-3,28,6.13,16,52
I Felt Your Shape,The Microphones,compost,1,2001,114,33,65,-12,55,1.92,87,51
Like Someone In Love - Vocal Version,Chet Baker,compost,1,1956,107,1,47,-28,23,2.43,94,52
The Miseducation of Lauryn Hill,Ms. Lauryn Hill,compost,1,1998,69,36,36,-11,65,3.92,30,52
Keisha's Song (Her Pain) (feat. Ashtro Bot),Kendrick Lamar,compost,1,2011,85,85,47,-8,20,3.78,43,53
bloodstream,Soccer Mommy,compost,1,2020,172,65,59,-6,62,5.62,48,53
Pearls,Sade,compost,1,1992,87,13,16,-16,4,4.55,85,53
Liability (Reprise),Lorde,compost,1,2017,78,28,55,-12,26,2.27,90,56
Clear Bones,Jean Dawson,compost,1,2020,94,87,56,-4,57,2.78,0,52
Sail To The Moon,Radiohead,compost,1,2003,112,30,37,-11,5,4.30,80,53
Dagger,Slowdive,compost,1,1993,146,21,51,-21,27,3.63,63,55
Chinese Satellite,Phoebe Bridgers,compost,1,2020,120,44,30,-10,38,3.62,75,28
WHAT'S THE OCCASION?,BROCKHAMPTON,compost,1,2021,78,55,61,-6,16,3.75,35,53
egobaby,Bladee,compost,1,2021,150,70,52,-6,10,2.32,19,54
Angeles,Elliott Smith,compost,1,1997,118,10,53,-24,59,2.95,86,55
"Epitaph - Including ""March for No Reason"" and ""Tomorrow and Tomorrow""",King Crimson,compost,1,1969,129,32,29,-13,9,8.78,1,56
Say Yes,Elliott Smith,compost,1,1997,153,9,50,-20,42,2.32,87,57
Planet Caravan - 2012 - Remaster,Black Sabbath,compost,1,1970,90,6,37,-29,34,4.48,94,56
good kid,Kendrick Lamar,compost,1,2012,176,83,45,-9,41,3.57,6,56
River Man,Nick Drake,compost,1,1969,115,12,47,-20,9,4.32,85,55
Punisher,Phoebe Bridgers,compost,1,2020,129,23,43,-13,21,3.17,99,31
Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,compost,1,1994,79,50,60,-10,10,2.83,47,57
Rock 'n' Roll Suicide - 2012 Remaster,David Bowie,compost,1,1972,103,31,46,-11,27,2.97,31,58
We Will Always Love You,The Avalanches,compost,1,2020,160,63,54,-8,18,2.87,40,58
Lazarus,David Bowie,compost,1,2016,130,70,66,-7,51,6.37,5,59
You Never Give Me Your Money - Remastered 2009,The Beatles,compost,1,1969,174,42,34,-11,22,4.05,35,62
Five Years - 2012 Remaster,David Bowie,compost,1,1972,153,33,46,-11,32,4.73,14,60
Moon Song,Phoebe Bridgers,compost,1,2020,104,24,38,-13,17,4.63,87,33
Last Words of a Shooting Star,Mitski,compost,1,2014,130,17,39,-19,10,2.73,47,33
"Nashville, TN",Chris Stapleton,compost,1,2020,76,24,61,-12,17,3.60,80,61
terms (feat. Dominic Fike & Denzel Curry),slowthai,compost,1,2021,140,58,73,-11,24,3.22,15,59
Polly,Nirvana,compost,1,1991,121,38,83,-11,54,2.90,88,60
Roses,Kanye West,compost,1,2005,98,47,72,-6,51,4.10,26,61
u,Kendrick Lamar,compost,1,2015,72,80,41,-6,58,4.47,26,63
I Don't Mind,Sturgill Simpson,compost,1,2020,89,48,60,-8,42,4.50,60,62
Good Guy,Frank Ocean,compost,1,2016,106,13,51,-13,81,1.12,98,64
Street Lights,Kanye West,compost,1,2008,126,49,64,-10,47,3.17,3,64
Maggie's Song,Chris Stapleton,compost,1,2020,133,48,67,-9,48,3.52,40,64
These Walls,Kendrick Lamar,compost,1,2015,108,49,75,-5,37,5.02,11,65
Lost In The World,Kanye West,compost,1,2010,117,75,61,-5,28,4.28,12,65
Something In The Way,Nirvana,compost,1,1991,105,20,43,-13,7,3.87,75,64
I Thought About Killing You,Kanye West,compost,1,2018,116,40,75,-8,42,4.57,87,64
Cold,Chris Stapleton,compost,1,2020,117,51,56,-7,29,5.17,5,66
30 Hours,Kanye West,compost,1,2016,95,81,82,-7,37,5.38,4,65
How to disappear,Lana Del Rey,compost,1,2019,79,30,54,-12,7,3.80,61,66
The greatest,Lana Del Rey,compost,1,2019,79,23,44,-13,20,5.00,94,66
marjorie,Taylor Swift,compost,1,2020,96,56,54,-12,29,4.30,88,67
Brain Damage,Pink Floyd,compost,1,1973,134,27,32,-13,21,3.78,7,67
Why Are Sundays So Depressing,The Strokes,compost,1,2020,110,71,58,-4,30,4.60,0,67
Writer In The Dark,Lorde,compost,1,2017,72,27,33,-8,28,3.62,73,69
Everything I Am,Kanye West,compost,1,2007,80,62,63,-7,77,3.80,46,68
Real Friends,Kanye West,compost,1,2016,81,74,44,-6,12,4.20,26,68
Gimme Love,Joji,compost,1,2020,126,63,48,-7,7,3.58,70,71
Faith,The Weeknd,compost,1,2020,176,61,38,-7,13,4.72,61,70
evermore (feat. Bon Iver),Taylor Swift,compost,1,2020,125,27,39,-11,32,5.07,94,70
Eleanor Rigby - Remastered 2009,The Beatles,compost,1,1966,138,28,58,-9,81,2.12,94,72
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",compost,1,2017,80,58,56,-10,24,5.35,79,73
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",compost,1,2017,90,61,48,-7,30,4.27,5,74
the last great american dynasty,Taylor Swift,compost,1,2020,148,66,69,-9,71,3.85,47,74
ARE WE STILL FRIENDS?,"Tyler, The Creator",compost,1,2019,187,50,22,-8,31,4.42,13,80
Liability,Lorde,compost,1,2017,76,23,59,-11,38,2.87,92,78
I Wonder,Kanye West,compost,1,2007,191,47,54,-9,12,4.05,14,77
Good News,Mac Miller,compost,1,2020,174,32,79,-13,24,5.70,85,77
Pink + White,Frank Ocean,compost,1,2016,160,55,54,-7,55,3.08,67,81
Columns,Lil Ugly Mane,compost,1,2015,140,91,41,-5,30,2.52,59,26
Collapse and Appear,Lil Ugly Mane,compost,1,2015,116,50,52,-10,29,6.83,22,29
Persistence,Lil Ugly Mane,compost,1,2015,180,70,54,-9,47,3.92,21,28
Drain Counter,Lil Ugly Mane,compost,1,2015,80,73,53,-7,71,3.05,37,41
Alright,Kendrick Lamar,recycled paper,2,2015,110,77,80,-6,56,3.65,7,76
I Can Change,LCD Soundsystem,recycled paper,2,2010,117,73,64,-7,70,5.87,0,60
4th Dimension,KIDS SEE GHOSTS,recycled paper,2,2018,172,54,77,-7,73,2.55,28,70
GOLD,BROCKHAMPTON,recycled paper,2,2017,110,65,81,-7,29,4.43,7,62
Downward Spiral,Danny Brown,recycled paper,2,2016,77,70,56,-6,18,2.87,41,44
Rave on U,Against All Logic,recycled paper,2,2018,121,86,77,-8,13,9.93,28,34
Heat Distraction,Women,recycled paper,2,2010,127,72,55,-7,68,4.08,6,2
Locust Valley,Women,recycled paper,2,2010,131,76,62,-8,70,4.25,29,2
Pure Comedy,Father John Misty,recycled paper,2,2017,133,26,46,-12,16,6.40,81,0
Best Life,Danny Brown,recycled paper,2,2019,86,76,70,-6,47,2.57,12,47
Dirty Laundry,Danny Brown,recycled paper,2,2019,174,62,56,-6,44,3.07,30,44
Ice Station Zebra,Jack White,recycled paper,2,2018,97,61,55,-10,56,4.00,30,31
"Piñata (feat. Domo Genesis, G-Wiz, Casey Veggies, Sulaiman, Meechy Darko, Mac Miller)",Freddie Gibbs,recycled paper,2,2014,160,81,49,-10,17,8.57,5,47
Bomb (feat. Raekwon),Freddie Gibbs,recycled paper,2,2014,91,72,50,-8,39,3.73,50,47
All Caps,Madvillain,recycled paper,2,2004,86,89,36,-8,67,2.17,27,8
America's Most Blunted,Madvillain,recycled paper,2,2004,96,90,62,-8,65,3.90,35,2
Great Day,Madvillain,recycled paper,2,2004,86,69,43,-8,69,2.28,69,2
Operation Lifesaver aka Mint Test,Madvillain,recycled paper,2,2004,183,67,27,-10,72,1.50,13,1
Movin Backwards,A Tribe Called Quest,recycled paper,2,2016,89,58,61,-7,71,4.70,32,41
Conrad Tokyo,A Tribe Called Quest,recycled paper,2,2016,95,61,68,-7,24,3.53,60,45
Dis Generation,A Tribe Called Quest,recycled paper,2,2016,96,79,74,-5,65,3.55,7,48
Richard Ramirez Died Today of Natural Causes,Sun Kil Moon,recycled paper,2,2014,81,49,65,-8,62,5.58,82,0
Waking Up,Kero Kero Bonito,recycled paper,2,2016,95,67,86,-3,84,2.95,24,41
Trampoline,Kero Kero Bonito,recycled paper,2,2016,125,86,86,-4,67,4.07,5,51
Break,Kero Kero Bonito,recycled paper,2,2016,96,73,85,-5,86,3.28,17,43
2100 (feat. Boots),Run The Jewels,recycled paper,2,2016,98,80,68,-6,10,4.02,3,41
"The Court Of The Crimson King - Including ""The Return of the Fire Witch"" and ""The Dance of the Puppets""",King Crimson,recycled paper,2,1969,137,35,33,-12,7,10.05,8,56
Dollar Days,David Bowie,recycled paper,2,2016,120,73,50,-7,16,4.75,3,44
The Blind Leaving the Blind Mvt 4,Punch Brothers,recycled paper,2,2008,182,28,34,-15,18,8.53,86,18
Any Colour You Like,Pink Floyd,recycled paper,2,1973,151,67,28,-13,51,3.43,20,63
The Plains / Bitter Dancer,Fleet Foxes,recycled paper,2,2011,87,33,33,-11,5,5.90,51,0
Helplessness Blues,Fleet Foxes,recycled paper,2,2011,125,46,33,-8,19,5.05,9,0
FEAR.,Kendrick Lamar,recycled paper,2,2017,150,48,59,-7,43,7.68,60,66
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,recycled paper,2,1975,138,29,26,-12,4,13.52,77,67
untitled 08 | 09.06.2014.,Kendrick Lamar,recycled paper,2,2016,120,52,85,-9,69,3.93,25,60
untitled 06 | 06.30.2014.,Kendrick Lamar,recycled paper,2,2016,89,54,67,-11,65,3.47,10,55
Dear Future Self,Kero Kero Bonito,recycled paper,2,2018,128,49,63,-7,31,2.78,83,36
Runaway,Kanye West,recycled paper,2,2010,85,57,37,-4,11,9.13,22,77
Nights,Frank Ocean,recycled paper,2,2016,90,55,47,-9,42,5.12,42,79
Thoughts,Charli XCX,recycled paper,2,2019,120,70,49,-4,16,3.18,17,45
Morning Bell,Radiohead,recycled paper,2,2000,142,46,65,-12,39,4.60,72,0
Two Halves,Richard Dawson,recycled paper,2,2019,183,38,47,-8,40,5.20,30,31
Weaver,Richard Dawson,recycled paper,2,2017,109,34,57,-9,37,5.97,72,25
Hob,Richard Dawson,recycled paper,2,2017,110,19,43,-11,14,5.95,84,20
 Cello Song,Nick Drake,recycled paper,2,1969,119,39,51,-17,52,4.75,66,51
Honey Dripping Sky,Georgia,recycled paper,2,2020,145,62,28,-9,9,4.90,5,19
Oh Comely,Neutral Milk Hotel,recycled paper,2,1998,118,36,37,-6,12,8.30,74,0
Kids See Ghosts,KIDS SEE GHOSTS,recycled paper,2,2018,95,68,84,-7,34,4.08,11,63
Blue World,Mac Miller,recycled paper,2,2020,85,55,74,-9,51,3.48,39,77
LUST.,Kendrick Lamar,recycled paper,2,2017,94,56,68,-9,57,5.13,19,64
bury a friend,Billie Eilish,recycled paper,2,2019,120,39,91,-15,20,3.22,74,78
bad guy,Billie Eilish,recycled paper,2,2019,135,43,70,-11,56,3.23,33,86
Weeping Birch,Dan Deacon,recycled paper,2,2020,110,48,48,-8,19,4.38,80,38
My Friend,Dan Deacon,recycled paper,2,2020,180,97,37,-7,23,5.23,2,27
Subterranean Homesick Alien,Radiohead,recycled paper,2,1997,151,59,32,-9,32,4.47,5,0
"Finally, Peace",Swans,recycled paper,2,2016,110,65,41,-8,10,6.25,1,18
Melatonin,A Tribe Called Quest,recycled paper,2,2016,94,49,69,-9,42,4.75,29,45
